lat_min,lat_max,lon_min,lon_max,count
26.7234148,26.9853299375,75.705862125,75.9016712,139.0
20.961281775,21.2231969125,72.768726,72.964535075,137.0
18.342130400000002,18.6040455375,73.747771375,73.94358045,124.0
22.5327726,22.7946877375,75.705862125,75.9016712,115.0
12.8419125125,13.10382765,80.20947085,80.405279925,109.0
23.3185180125,23.58043315,85.30050680000001,85.49631587500001,107.0
12.8419125125,13.10382765,77.4681438,77.663952875,104.0
17.29446985,17.5563849875,78.2513801,78.447189175,93.0
11.00850655,11.2704216875,76.88071657500001,77.07652565000001,89.0
12.3180822375,12.579997375,76.489098425,76.68490750000001,69.0
18.865960675,19.1278758125,72.768726,72.964535075,66.0
10.7465914125,11.00850655,76.88071657500001,77.07652565000001,62.0
22.2708574625,22.5327726,73.16034415,73.356153225,58.0
12.0561671,12.3180822375,76.489098425,76.68490750000001,48.0
19.1278758125,19.38979095,72.768726,72.964535075,40.0
12.8419125125,13.10382765,77.663952875,77.85976195,31.0
26.4614996625,26.7234148,80.20947085,80.405279925,29.0
30.6521418625,30.914057,75.705862125,75.9016712,28.0
17.29446985,17.5563849875,78.447189175,78.64299825,27.0
19.651706087500003,19.913621225,75.314243975,75.51005305,26.0
22.5327726,22.7946877375,88.237642925,88.433452,23.0
25.4138391125,25.67575425,81.77594345,81.971752525,19.0
23.056602875000003,23.3185180125,77.27233472500001,77.4681438,18.0
26.9853299375,27.247245075000002,77.85976195,78.055571025,15.0
12.8419125125,13.10382765,80.013661775,80.20947085,14.0
9.960846,10.222761137500001,76.29328935,76.489098425,13.0
15.4610638875,15.722979025,73.747771375,73.94358045,13.0
30.1283115875,30.390226725,78.055571025,78.2513801,13.0
22.2708574625,22.5327726,72.964535075,73.16034415,9.0
22.5327726,22.7946877375,75.9016712,76.097480275,9.0
18.6040455375,18.865960675,73.747771375,73.94358045,8.0
30.1283115875,30.390226725,77.85976195,78.055571025,7.0
26.9853299375,27.247245075000002,78.055571025,78.2513801,6.0
22.2708574625,22.5327726,88.237642925,88.433452,6.0
9.960846,10.222761137500001,76.097480275,76.29328935,3.0
15.4610638875,15.722979025,73.5519623,73.747771375,3.0
19.1278758125,19.38979095,72.964535075,73.16034415,2.0
15.199148749999999,15.4610638875,73.747771375,73.94358045,1.0
