cluster,count,centroid_lat,centroid_lon,median_distance_to_centroid_km,p90_distance_to_centroid_km,within_service_radius_pct
0,124,22.797653758064513,75.94824971774193,5.157404098838897,9.606241139100502,45.96774193548387
1,135,13.015486362962962,77.70039744444446,6.139283123330977,11.61473310601301,39.25925925925926
2,151,11.076321039735099,77.04520821854304,5.069788543766557,9.43659514047983,49.00662251655629
3,123,13.093338910569107,80.29412347154472,5.423851165613066,10.916506280115367,43.08943089430895
4,120,17.49531258333333,78.46814936666667,6.101496853185088,10.996814707253462,35.0
5,107,23.433693429906544,85.39496771028038,5.018503568026856,9.398481533323785,49.532710280373834
6,117,12.38193223076923,76.69119214529915,4.719316233312462,8.769193256362525,56.41025641025641
7,132,18.610990416666667,73.91320098484847,7.328972158479743,13.679560490319735,29.545454545454547
8,108,19.179433555555555,72.9110597962963,8.764343132584791,17.78896579874335,26.851851851851855
9,139,26.96482074820144,75.86503997122303,6.157103414184129,11.628713316307273,34.53237410071942
10,137,21.229671489051093,72.84835140145985,4.4027846293589805,9.415550109840353,57.66423357664233
11,67,22.372985208955225,73.22825062686567,3.936362863469181,7.84741215347925,64.17910447761194
