feature,used_for_modeling,is_target,is_sensitive,is_collection_stage_proxy,is_target_derived
Borrower_ID,False,False,False,False,False
Age,True,False,False,False,False
Monthly_Income,True,False,False,False,False
Loan_Amount,True,False,False,False,False
Loan_Term_Months,True,False,False,False,False
Interest_Rate,True,False,False,False,False
Credit_Score,True,False,False,False,False
Days_Past_Due,True,False,False,False,False
Missed_Payments,True,False,False,False,False
Employment_Status,True,False,False,False,False
Loan_Purpose,True,False,False,False,False
Education_Level,True,False,False,False,False
Marital_Status,False,False,True,False,False
Num_Dependents,True,False,False,False,False
Residence_Type,False,False,True,False,False
Years_At_Current_Address,True,False,False,False,False
Outstanding_Balance,True,False,False,False,False
Collateral_Value,True,False,False,False,False
Debt_to_Income_Ratio,True,False,False,False,False
Collection_Attempts,False,False,False,True,False
Previous_Defaults,True,False,False,False,False
Recovery_Status,False,True,False,False,False
Estimated_EMI,True,False,False,False,False
Loan_to_Income_Ratio,True,False,False,False,False
EMI_to_Income_Ratio,True,False,False,False,False
Debt_Burden_Score,True,False,False,False,False
Collateral_Coverage_Ratio,True,False,False,False,False
Recovery_Efficiency_Ratio,False,False,False,True,False
Risk_Exposure_Score,True,False,False,False,False
Missed_Payment_Severity,True,False,False,False,False
Delinquency_Score,True,False,False,False,False
Recovery_Difficulty_Index,True,False,False,False,False
Collection_Intensity_Score,False,False,False,True,False
Behavioral_Risk_Score,True,False,False,False,False
