query_id,base_hit,advanced_hit,base_rr,advanced_rr,base_top_score,advanced_top_hybrid
572a06af3f37b3190047866a,1,1,1.0,1.0,0.835457444190979,0.6113945692661966
5726249538643c19005ad080,1,1,1.0,1.0,0.7276321351528168,0.5070205585448786
57337ddc4776f41900660bbe,1,1,1.0,1.0,0.7997793555259705,0.6216934214812598
57332e48d058e614000b5765,1,1,1.0,1.0,0.84844109416008,0.5831724180141592
56e16182e3433e1400422e29,1,1,1.0,1.0,0.9037773013114929,0.637661329352583
57097051ed30961900e84134,1,1,1.0,1.0,0.8277746438980103,0.5538131301217754
571c3e8cdd7acb1400e4c0a6,1,1,1.0,1.0,0.8660932779312134,0.5998362175434044
5ad0421177cf76001a686f15,1,1,1.0,1.0,0.875826895236969,0.6384844960590822
57097b50200fba1400368050,1,1,1.0,1.0,0.8749136030673981,0.6001137931944094
5ad3ed37604f3c001a3ff7a1,1,1,1.0,1.0,0.8740077912807465,0.6609731492985526
5a7b079b21c2de001afe9cf9,1,1,1.0,1.0,0.6500394642353058,0.47643505792377494
572fe53104bcaa1900d76e6d,1,1,1.0,1.0,0.8695470988750458,0.6930004812437116
5a893ce63b2508001a72a556,1,1,1.0,1.0,0.8068352341651917,0.5568078066136828
5ad24e50d7d075001a428c3c,1,1,1.0,0.5,0.7799725532531738,0.4858755979436446
5725fb8138643c19005acf3f,1,1,1.0,1.0,0.8566961586475372,0.6460942891445614
5ad3b826604f3c001a3fee47,1,1,1.0,1.0,0.8272051215171814,0.5774868222621883
57299ec43f37b3190047850e,1,1,1.0,1.0,0.8850537538528442,0.6444217758621511
5a1c8753b4fb5d0018714669,1,1,1.0,1.0,0.8357603549957275,0.6259698727181828
5ad40219604f3c001a3ffd47,1,1,1.0,1.0,0.7933482527732849,0.5373363551358026
5a0c96fbf5590b0018dab487,1,1,1.0,1.0,0.7982480227947235,0.5312920725441415
