query_id,precision_at_k,recall_at_k,f1_at_k,reciprocal_rank,ndcg
56ddde6b9a695914005b9628,0.25,1.0,0.4,0.5,0.6309297535714575
56ddde6b9a695914005b9629,0.25,1.0,0.4,1.0,1.0
56ddde6b9a695914005b962a,0.25,1.0,0.4,1.0,1.0
56ddde6b9a695914005b962b,0.25,1.0,0.4,1.0,1.0
56ddde6b9a695914005b962c,0.2,1.0,0.33333333333333337,1.0,1.0
5ad39d53604f3c001a3fe8d1,0.25,1.0,0.4,1.0,1.0
5ad39d53604f3c001a3fe8d2,0.2,1.0,0.33333333333333337,0.5,0.6309297535714575
5ad39d53604f3c001a3fe8d3,0.0,0.0,0.0,0.0,0.0
5ad39d53604f3c001a3fe8d4,0.25,1.0,0.4,1.0,1.0
56dddf4066d3e219004dad5f,0.25,1.0,0.4,1.0,1.0
56dddf4066d3e219004dad60,0.25,1.0,0.4,0.5,0.6309297535714575
56dddf4066d3e219004dad61,0.25,1.0,0.4,1.0,1.0
5ad3a266604f3c001a3fea27,0.25,1.0,0.4,1.0,1.0
5ad3a266604f3c001a3fea28,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad3a266604f3c001a3fea29,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad3a266604f3c001a3fea2a,0.25,1.0,0.4,0.3333333333333333,0.5
5ad3a266604f3c001a3fea2b,0.25,1.0,0.4,1.0,1.0
56dde0379a695914005b9636,0.25,1.0,0.4,1.0,1.0
56dde0379a695914005b9637,0.25,1.0,0.4,1.0,1.0
5ad3ab70604f3c001a3feb89,0.25,1.0,0.4,1.0,1.0
